Year,PDO_Oct_Mar,PDO_April_Sept_lagged,NPGO_Oct_Mar,NPGO_April_Sept_lagged
1950,-1.535,-0.848333333,,
1951,-1.513333333,-1.828333333,-0.348817188,-0.66114965
1952,-0.896666667,-0.408333333,-1.066957642,-1.12768136
1953,-0.471666667,-1.036666667,0.530051923,-0.808096173
1954,-0.75,0.155,1.146656222,0.921337052
1955,-0.306666667,-0.13,0.133938545,-0.131289464
1956,-2.735,-2.028333333,-0.186158407,0.060417774
1957,-1.36,-1.363333333,-0.935777,0.313184891
1958,0.291666667,0.761666667,-0.673528625,-1.007548013
1959,0,0.985,-0.424747107,-0.666109965
1960,0.383333333,-0.22,0.534529205,-0.348425863
1961,0.288333333,0.008333333,1.131671672,0.616103342
1962,-1.78,-0.781666667,0.06400026,1.078253875
1963,-0.651666667,-1.193333333,-0.185729198,-0.268897618
1964,-0.791666667,-0.586666667,0.57104906,-0.389424022
1965,-0.841666667,-0.913333333,-0.380296641,0.784095258
1966,-0.505,-0.086666667,-0.805259462,-0.810366273
1967,-0.703333333,-0.121666667,-0.791371563,-1.192793173
1968,-0.458333333,-1.023333333,-0.472969983,-0.852932135
1969,-0.793333333,-0.188333333,-0.976926773,-1.058573405
1970,0.836666667,-0.186666667,0.075049828,-0.332941608
1971,-1.413333333,-0.663333333,0.042079218,0.286259597
1972,-1.541666667,-1.138333333,-0.191317452,0.631124595
1973,-0.203333333,-0.916666667,-0.506335181,-0.644112503
1974,-1.201666667,-0.773333333,-0.139906764,0.261092322
1975,-0.308333333,-0.08,0.517596253,0.08970436
1976,-1.488333333,-1.03,1.208424542,0.655516893
1977,1.176666667,0.078333333,1.592158567,2.3032911
1978,0.185,0.218333333,1.10525395,1.080035138
1979,-0.335,0.016666667,-0.399926597,0.666740645
1980,0.57,0.751666667,-1.070445128,-0.970489838
1981,0.776666667,0.551666667,-0.415985894,-0.621633446
1982,0.396666667,1.055,-0.11740924,-0.273173076
1983,0.698333333,0.043333333,-0.099722185,-0.739821757
1984,1.358333333,2.05,0.050131205,-0.334958309
1985,0.815,0.576666667,0.424800778,0.747691125
1986,0.805,0.448333333,-1.223646388,-0.093274966
1987,1.711666667,0.903333333,0.081390095,-0.809820373
1988,1.281666667,2.003333333,0.700878087,0.345906877
1989,-0.558333333,0.556666667,1.064758843,1.588094467
1990,-0.4,0.246666667,0.101652172,0.7457709
1991,-1.426666667,0.318333333,-0.707952805,-0.111314082
1992,0.338333333,-0.346666667,-0.376606705,-0.442642916
1993,0.565,1.286666667,-1.803010857,-1.372736277
1994,1.053333333,2.046666667,-2.173664417,-1.461780077
1995,-0.725,0.108333333,-1.321745888,-0.839132948
1996,0.45,1.106666667,-0.570003965,-1.296094775
1997,0.148333333,0.935,-1.14458518,-0.889538487
1998,1.3,2.161666667,0.52695706,-0.72689845
1999,-0.61,0.15,1.157702506,0.271402698
2000,-1.408333333,-0.923333333,1.5382523,1.5459845
2001,0.005,-0.538333333,2.347422083,1.845870067
2002,-0.726666667,-0.755,1.814284983,1.9692744
2003,1.563333333,-0.096666667,1.59530995,1.1039896
2004,0.533333333,0.766666667,0.452029472,0.942104343
2005,0.283333333,0.588333333,-1.004011655,0.430405203
2006,-0.146666667,0.751666667,-1.03794461,-1.354182923
2007,-0.073333333,0.113333333,-0.549879078,-0.336757555
2008,-0.931666667,0.178333333,0.920019085,0.960485888
2009,-1.403333333,-1.525,1.024172305,1.701768117
2010,0.34,-0.46,1.471668783,0.600359783
2011,-0.921666667,-0.458333333,0.907848718,1.25170945
2012,-1.456666667,-1.145,0.753759333,1.083893507
2013,-0.508333333,-1.343333333,1.257367632,1.740276
2014,0.043333333,-0.605,-0.586059347,0.575908878
2015,2.078333333,1.033333333,-0.472606952,-0.376848497
2016,1.503333333,1.586666667,-0.503821792,-1.475280892
2017,0.97,1.536666667,-0.30980776,-0.640482922
2018,0.286666667,0.55,-1.985656217,-0.394459177
2019,0.37,0.093333333,-1.76627464,-1.9899762
2020,-0.176666667,0.835,,
